iter	Passed	Remaining
0	112	112007
1	113	56486
2	113	37830
3	114	28513
4	115	22916
5	115	19204
6	116	16550
7	117	14560
8	118	13010
9	118	11766
10	119	10747
11	120	9902
12	121	9220
13	122	8612
14	123	8077
15	123	7605
16	124	7184
17	124	6812
18	125	6478
19	126	6178
20	126	5906
21	127	5668
22	128	5445
23	129	5248
24	129	5061
25	130	4888
26	131	4725
27	131	4577
28	132	4438
29	133	4314
30	134	4193
31	134	4080
32	135	3971
33	136	3870
34	137	3778
35	137	3686
36	138	3601
37	139	3520
38	140	3449
39	140	3381
40	141	3311
41	142	3244
42	143	3182
43	143	3121
44	144	3064
45	145	3009
46	145	2958
47	146	2910
48	147	2862
49	148	2814
50	148	2767
51	149	2723
52	150	2680
53	150	2638
54	151	2598
55	151	2561
56	152	2529
57	153	2496
58	154	2463
59	155	2430
60	155	2398
61	156	2367
62	157	2337
63	157	2307
64	158	2286
65	159	2260
66	160	2233
67	161	2207
68	161	2182
69	162	2156
70	162	2131
71	163	2108
72	164	2086
73	165	2065
74	165	2047
75	166	2026
76	167	2007
77	168	1987
78	168	1967
79	169	1949
80	170	1929
81	170	1914
82	171	1894
83	172	1878
84	173	1862
85	173	1845
86	174	1831
87	175	1815
88	175	1801
89	176	1785
90	177	1772
91	178	1759
92	179	1746
93	179	1732
94	180	1718
95	181	1705
96	181	1692
97	182	1679
98	183	1667
99	183	1655
100	184	1644
101	185	1633
102	186	1622
103	186	1610
104	187	1599
105	188	1588
106	189	1577
107	189	1567
108	190	1559
109	191	1550
110	192	1541
111	193	1531
112	193	1521
113	194	1512
114	195	1502
115	195	1493
116	196	1484
117	197	1476
118	198	1467
119	198	1459
120	199	1450
121	200	1440
122	200	1432
123	201	1423
124	202	1416
125	203	1409
126	203	1401
127	204	1394
128	205	1386
129	206	1379
130	206	1371
131	207	1363
132	207	1355
133	208	1350
134	209	1344
135	210	1337
136	211	1330
137	211	1323
138	212	1316
139	213	1309
140	213	1303
141	214	1295
142	215	1289
143	216	1284
144	216	1278
145	217	1271
146	218	1265
147	218	1259
148	219	1253
149	220	1247
150	220	1241
151	221	1237
152	222	1233
153	223	1228
154	224	1223
155	225	1217
156	225	1211
157	226	1206
158	227	1201
159	228	1197
160	228	1192
161	229	1186
162	230	1181
163	230	1176
164	231	1171
165	232	1165
166	232	1161
167	233	1156
168	234	1152
169	235	1148
170	235	1143
171	236	1138
172	237	1133
173	237	1128
174	238	1123
175	238	1118
176	239	1114
177	240	1110
178	241	1106
179	241	1101
180	242	1096
181	242	1091
182	243	1087
183	244	1082
184	244	1077
185	245	1073
186	245	1069
187	246	1065
188	247	1062
189	248	1058
190	248	1053
191	249	1049
192	250	1045
193	250	1042
194	251	1038
195	252	1034
196	252	1030
197	253	1026
198	254	1024
199	255	1020
200	255	1016
201	256	1012
202	257	1009
203	257	1005
204	258	1002
205	259	999
206	260	996
207	260	993
208	261	989
209	262	986
210	262	983
211	263	979
212	264	976
213	265	973
214	265	971
215	266	968
216	267	965
217	268	961
218	268	958
219	269	955
220	270	952
221	271	950
222	271	947
223	272	944
224	273	941
225	273	938
226	274	935
227	275	932
228	276	929
229	276	926
230	277	923
231	278	920
232	278	918
233	279	915
234	280	912
235	281	909
236	281	906
237	282	904
238	282	900
239	283	898
240	284	896
241	285	893
242	286	891
243	286	888
244	287	885
245	287	882
246	288	879
247	289	877
248	289	874
249	290	872
250	291	869
251	292	867
252	292	864
253	293	861
254	294	859
255	294	856
256	295	854
257	296	851
258	296	848
259	297	846
260	298	844
261	298	842
262	299	839
263	300	837
264	300	834
265	301	832
266	302	829
267	302	827
268	303	825
269	304	822
270	305	820
271	305	818
272	306	815
273	307	813
274	307	811
275	308	808
276	309	806
277	309	804
278	310	802
279	311	800
280	311	798
281	312	795
282	313	793
283	313	791
284	314	789
285	315	787
286	316	785
287	316	783
288	317	781
289	318	779
290	318	777
291	319	774
292	320	772
293	320	770
294	321	768
295	322	766
296	323	765
297	324	763
298	324	761
299	325	759
300	326	757
301	326	755
302	327	753
303	328	751
304	328	749
305	329	747
306	330	745
307	330	743
308	331	741
309	332	739
310	332	737
311	333	735
312	334	733
313	334	731
314	335	729
315	336	727
316	336	725
317	337	723
318	338	721
319	338	719
320	339	717
321	339	715
322	340	713
323	341	711
324	342	710
325	342	708
326	343	706
327	343	704
328	344	702
329	345	700
330	345	698
331	346	696
332	347	695
333	347	693
334	348	691
335	349	689
336	349	688
337	350	686
338	351	684
339	351	682
340	352	681
341	353	679
342	354	678
343	355	677
344	355	675
345	356	673
346	357	671
347	357	670
348	358	668
349	358	666
350	359	664
351	360	663
352	361	661
353	361	659
354	362	658
355	362	656
356	363	654
357	364	653
358	364	651
359	365	649
360	366	648
361	366	646
362	367	644
363	367	642
364	368	641
365	369	639
366	369	638
367	370	636
368	371	634
369	372	633
370	372	632
371	373	630
372	374	629
373	374	627
374	375	626
375	376	624
376	376	622
377	377	621
378	378	619
379	378	618
380	379	616
381	380	615
382	381	614
383	381	612
384	382	611
385	383	609
386	383	608
387	384	606
388	385	605
389	386	603
390	386	602
391	387	601
392	388	599
393	388	597
394	389	596
395	390	594
396	390	593
397	391	592
398	392	591
399	392	589
400	393	587
401	394	586
402	394	584
403	395	583
404	396	581
405	396	580
406	397	579
407	398	577
408	398	576
409	399	574
410	400	573
411	400	571
412	401	570
413	401	568
414	402	567
415	403	565
416	403	564
417	404	563
418	404	561
419	405	560
420	406	558
421	406	557
422	407	555
423	408	554
424	408	552
425	409	551
426	409	550
427	410	548
428	411	547
429	411	546
430	412	544
431	413	543
432	413	541
433	414	540
434	415	539
435	415	537
436	416	536
437	417	535
438	417	533
439	418	532
440	419	531
441	419	530
442	420	528
443	421	527
444	421	525
445	422	524
446	423	523
447	423	522
448	424	520
449	425	519
450	425	518
451	426	516
452	426	515
453	427	513
454	427	512
455	428	511
456	429	510
457	430	509
458	430	507
459	431	506
460	432	505
461	432	504
462	433	502
463	434	501
464	435	500
465	435	499
466	436	498
467	437	497
468	437	495
469	438	494
470	439	493
471	439	492
472	440	490
473	441	489
474	441	488
475	442	487
476	443	486
477	444	484
478	444	483
479	445	482
480	446	481
481	446	480
482	447	479
483	448	478
484	449	476
485	449	475
486	450	474
487	451	473
488	451	472
489	452	471
490	453	470
491	454	468
492	455	468
493	455	467
494	456	466
495	457	464
496	458	463
497	458	462
498	459	461
499	460	460
500	461	459
501	461	458
502	462	456
503	463	455
504	463	454
505	464	453
506	465	452
507	465	451
508	466	450
509	467	449
510	468	448
511	468	446
512	469	445
513	470	444
514	471	443
515	471	442
516	472	441
517	473	440
518	474	439
519	474	438
520	475	437
521	476	436
522	476	434
523	477	433
524	478	432
525	478	431
526	479	430
527	480	429
528	481	428
529	481	427
530	482	426
531	483	424
532	483	423
533	484	422
534	485	421
535	486	420
536	486	419
537	487	418
538	488	417
539	488	416
540	489	415
541	490	414
542	491	413
543	492	412
544	493	411
545	493	410
546	494	409
547	495	408
548	495	407
549	496	406
550	497	405
551	498	404
552	498	403
553	499	402
554	500	401
555	501	400
556	502	399
557	502	398
558	503	397
559	504	396
560	505	395
561	506	394
562	506	393
563	507	392
564	508	391
565	508	390
566	509	389
567	510	388
568	511	387
569	511	386
